year,weeks,annualized_stock_return,annualized_net_stock_return,annualized_active_return,net_active_return,active_ir
2022,52,-0.0749238995322891,-0.0981120715752999,-0.006689713322919,-0.0298778853659297,-0.4109806141409216
2023,52,0.1841842373757082,0.1541512929693939,0.0075745043103266,-0.0224584400959876,-0.4964318519303493
2024,52,0.3430853340763713,0.3163193766295628,0.1585154130231653,0.1317494555763568,2.2259485305018805
2025,53,0.2420480446523888,0.2143642989573603,0.0983966014854915,0.0707128557904631,1.0150779942847312
2026,6,0.4650178641271981,0.4404348107490719,0.1236379241598747,0.0990548707817486,2.3384453654624893
